Year,US,total,PA-NY,WV,OH,IL-IN,CA,KS-NE,CO-NM-AZUT,TX,LA,OK,WY,AK,ND-MT
1862,3056,3056,0,0,0,0,0,0,0,0,0,0,0,0,0
1863,2631,2631,0,0,0,0,0,0,0,0,0,0,0,0,0
1864,2116,2116,0,0,0,0,0,0,0,0,0,0,0,0,0
1865,2498,2498,0,0,0,0,0,0,0,0,0,0,0,0,0
1866,3598,3598,0,0,0,0,0,0,0,0,0,0,0,0,0
1867,3347,3347,0,0,0,0,0,0,0,0,0,0,0,0,0
1868,3716,3716,0,0,0,0,0,0,0,0,0,0,0,0,0
1869,4215,4215,0,0,0,0,0,0,0,0,0,0,0,0,0
1870,5659,5659,0,0,0,0,0,0,0,0,0,0,0,0,0
1871,5795,5795,0,0,0,0,0,0,0,0,0,0,0,0,0
1872,6539,6539,0,0,0,0,0,0,0,0,0,0,0,0,0
1873,9894,9894,0,0,0,0,0,0,0,0,0,0,0,0,0
1874,10927,10927,0,0,0,0,0,0,0,0,0,0,0,0,0
1875,8788,8788,0,0,0,0,0,0,0,0,0,0,0,0,0
1876,9133,8969,120,32,0,12,0,0,0,0,0,0,0,0,0
1877,13350,13135,172,30,0,13,0,0,0,0,0,0,0,0,0
1878,15396,15163,180,38,0,15,0,0,0,0,0,0,0,0,0
1879,19914,19685,180,29,0,20,0,0,0,0,0,0,0,0,0
1880,26286,26028,179,39,0,40,0,0,0,0,0,0,0,0,0
1881,27662,27377,151,34,0,100,0,0,0,0,0,0,0,0,0
1882,21073,20776,128,40,0,129,0,0,0,0,0,0,0,0,0
1883,23449,23128,126,47,0,143,0,0,0,0,0,0,0,0,5
1884,24218,23772,90,90,0,262,0,0,0,0,0,0,0,0,4
1885,21859,20776,91,662,0,325,0,0,0,0,0,0,0,0,5
1886,28065,25798,102,1783,0,377,0,0,0,0,0,0,0,0,5
1887,28283,22356,145,5023,0,678,0,76,0,0,0,0,0,0,5
1888,27612,16489,119,10011,0,690,0,298,0,0,0,0,0,0,5
1889,35163,21487,544,12472,34,303,1,317,0,0,0,0,0,0,5
1890,45824,28458,493,16125,65,307,1,369,0,0,0,0,0,0,6
1891,54293,33009,2406,17740,138,324,1,666,0,0,0,0,0,0,9
